district,month,groundwater_level
Vizianagaram,Jul,4.26
Parvathipuram Manyam,Jul,7
Alluri Sitharama Raju,Jul,7.82
Visakhapatnam,Jul,8.38
Anakapalli,Jul,5.39
Kakinada,Jul,7.15
Konaseema,Jul,3.24
East Godavari,Jul,21.84
West Godavari,Jul,8.09
Eluru,Jul,20.26
Krishna,Jul,9.77
NTR,Jul,5.91
Guntur,Jul,5.31
Bapatla,Jul,4.09
Palnadu,Jul,12.54
Prakasam,Jul,21.58
Sri Potti Sriramulu Nellore,Jul,7.41
Kurnool,Jul,8.73
Nandyal,Jul,7.84
Ananthapuramu,Jul,13.32
Sri Sathya Sai,Jul,13.89
Y.S.R Kadapa,Jul,12.84
Annamayya,Jul,16.81
Chittoor,Jul,12.6
Tirupati,Jul,6.86
Srikakulam,Aug,7.11
Vizianagaram,Aug,4.14
Parvathipuram Manyam,Aug,5.75
Alluri Sitharama Raju,Aug,6.46
Visakhapatnam,Aug,8.43
Anakapalli,Aug,5.26
Kakinada,Aug,6.77
Konaseema,Aug,3.11
East Godavari,Aug,21.89
West Godavari,Aug,7.76
Eluru,Aug,20.73
Krishna,Aug,9.6
NTR,Aug,4.92
Guntur,Aug,4.98
Bapatla,Aug,3.7
Palnadu,Aug,11
Prakasam,Aug,22.71
Sri Potti Sriramulu Nellore,Aug,7.28
Kurnool,Aug,8.44
Nandyal,Aug,6.91
Ananthapuramu,Aug,12.63
Sri Sathya Sai,Aug,15.51
Y.S.R Kadapa,Aug,12.39
Annamayya,Aug,17.2
Chittoor,Aug,13.17
Tirupati,Aug,7.28
Srikakulam,Sep,5.85
Vizianagaram,Sep,2.96
Parvathipuram Manyam,Sep,5.18
Alluri Sitharama Raju,Sep,5.15
Visakhapatnam,Sep,4.93
Anakapalli,Sep,3.36
Kakinada,Sep,5.59
Konaseema,Sep,1.91
East Godavari,Sep,21.19
West Godavari,Sep,7.22
Eluru,Sep,16.6
Krishna,Sep,8.06
NTR,Sep,3.21
Guntur,Sep,3.34
Bapatla,Sep,3.34
Palnadu,Sep,7.03
Prakasam,Sep,18.54
Sri Potti Sriramulu Nellore,Sep,7.58
Kurnool,Sep,7.33
Nandyal,Sep,6.16
Ananthapuramu,Sep,10.89
Sri Sathya Sai,Sep,13.79
Y.S.R Kadapa,Sep,12.25
Annamayya,Sep,18.26
Chittoor,Sep,13.56
Tirupati,Sep,7.43
Srikakulam,Oct,6.01
Vizianagaram,Oct,3.26
Parvathipuram Manyam,Oct,5.52
Alluri Sitharama Raju,Oct,5.78
Visakhapatnam,Oct,4.41
Anakapalli,Oct,3.58
Kakinada,Oct,5.09
Konaseema,Oct,2.06
East Godavari,Oct,21.11
West Godavari,Oct,6.87
Eluru,Oct,16.7
Krishna,Oct,8.79
NTR,Oct,3.39
Guntur,Oct,2.63
Bapatla,Oct,2.07
Palnadu,Oct,6.62
Prakasam,Oct,16.44
Sri Potti Sriramulu Nellore,Oct,6.48
Kurnool,Oct,6.19
Nandyal,Oct,5.32
Ananthapuramu,Oct,8.79
Sri Sathya Sai,Oct,9.46
Y.S.R Kadapa,Oct,10.29
Annamayya,Oct,14.6
Chittoor,Oct,12.41
Tirupati,Oct,5.5
Srikakulam,Dec,7.1
Vizianagaram,Dec,3.03
Parvathipuram Manyam,Dec,7.39
Alluri Sitharama Raju,Dec,6.96
Visakhapatnam,Dec,5.58
Anakapalli,Dec,4.31
Kakinada,Dec,5.85
Konaseema,Dec,2.71
East Godavari,Dec,22.28
West Godavari,Dec,7.93
Eluru,Dec,17.48
Krishna,Dec,8.38
NTR,Dec,4.43
Guntur,Dec,4.09
Bapatla,Dec,3.1
Palnadu,Dec,7.99
Prakasam,Dec,11.97
Sri Potti Sriramulu Nellore,Dec,5.63
Kurnool,Dec,7.43
Nandyal,Dec,5.3
Ananthapuramu,Dec,8.71
Sri Sathya Sai,Dec,7.64
Y.S.R Kadapa,Dec,7.19
Annamayya,Dec,9.08
Chittoor,Dec,9.68
Tirupati,Dec,2.58
